"Date","Price","Open","High","Low","Vol.","Change %"
"05/03/2021","132.54","132.04","134.07","131.83","75.14M","0.82%"
"05/04/2021","127.85","131.19","131.49","126.70","137.56M","-3.54%"
"05/05/2021","128.10","129.20","130.45","127.97","84.00M","0.20%"
"05/06/2021","129.74","127.89","129.75","127.13","78.13M","1.28%"
"05/07/2021","130.21","130.85","131.26","129.48","78.97M","0.36%"
"05/10/2021","126.85","129.41","129.54","126.81","88.07M","-2.58%"
"05/11/2021","125.91","123.50","126.27","122.77","126.14M","-0.74%"
"05/12/2021","122.77","123.40","124.64","122.25","112.17M","-2.49%"
"05/13/2021","124.97","124.58","126.15","124.26","105.86M","1.79%"
"05/14/2021","127.45","126.25","127.89","125.85","81.92M","1.98%"
"05/17/2021","126.27","126.82","126.93","125.17","74.25M","-0.93%"
"05/18/2021","124.85","126.56","126.99","124.78","63.34M","-1.12%"
"05/19/2021","124.69","123.16","124.92","122.86","92.61M","-0.13%"
"05/20/2021","127.31","125.23","127.72","125.10","76.86M","2.10%"
"05/21/2021","125.43","127.82","128.00","125.21","79.30M","-1.48%"
"05/24/2021","127.10","126.01","127.94","125.94","63.09M","1.33%"
"05/25/2021","126.90","127.82","128.32","126.32","72.01M","-0.16%"
"05/26/2021","126.85","126.96","127.39","126.42","56.58M","-0.04%"
"05/27/2021","125.28","126.44","127.64","125.08","94.63M","-1.24%"
"05/28/2021","124.61","125.57","125.80","124.55","71.31M","-0.53%"
"06/01/2021","124.28","125.08","125.35","123.94","67.64M","-0.26%"
"06/02/2021","125.06","124.28","125.24","124.05","59.28M","0.63%"
"06/03/2021","123.54","124.68","124.85","123.13","76.23M","-1.22%"
"06/04/2021","125.89","124.07","126.16","123.85","75.17M","1.90%"
"06/07/2021","125.90","126.17","126.32","124.83","71.06M","0.01%"
"06/08/2021","126.74","126.60","128.46","126.21","74.40M","0.67%"
"06/09/2021","127.13","127.21","127.75","126.52","56.88M","0.31%"
"06/10/2021","126.11","127.02","128.19","125.94","71.19M","-0.80%"
"06/11/2021","127.35","126.53","127.44","126.10","53.52M","0.98%"
"06/14/2021","130.48","127.82","130.54","127.07","96.91M","2.46%"
"06/15/2021","129.64","129.94","130.60","129.39","62.75M","-0.64%"
"06/16/2021","130.15","130.37","130.89","128.46","91.82M","0.39%"
"06/17/2021","131.79","129.80","132.55","129.65","96.72M","1.26%"
"06/18/2021","130.46","130.71","131.51","130.24","108.95M","-1.01%"
"06/21/2021","132.30","130.30","132.41","129.21","79.66M","1.41%"
"06/22/2021","133.98","132.13","134.08","131.62","74.78M","1.27%"
"06/23/2021","133.70","133.77","134.32","133.23","60.21M","-0.21%"
